Node,tbc
430,1.19E-06
431,7.41E-05
432,0.000240981
433,0.000342927
434,8.90E-07
435,2.37E-06
436,2.79E-07
437,0.000211838
438,1.52E-05
439,5.64E-06
440,1.69E-05
441,0
442,3.56E-06
443,8.60E-06
444,3.78E-06
445,0
446,0
447,0.000181575
448,3.59E-05
449,0
450,7.51E-05
451,6.23E-06
452,1.78E-06
453,0
454,0
455,0
456,0.000102444
457,0.00039874
458,0.000109683
459,0.000190304
460,0
461,4.14E-05
462,0.000194135
463,1.87E-05
464,2.09E-05
465,0
466,0
467,5.79E-06
468,1.48E-06
469,1.16E-05
470,0
471,5.93E-06
472,0
473,5.04E-06
474,0.000314469
475,0.000381153
476,1.26E-05
477,0.000130743
478,5.02E-06
479,1.10E-05
480,1.39E-05
481,1.32E-07
482,0.000179329
483,1.17E-05
484,0.000970873
485,8.90E-07
486,6.83E-05
487,5.47E-06
488,9.23E-06
489,6.42E-05
490,0
491,9.46E-06
492,0
493,0.000117765
494,8.90E-07
495,2.37E-06
496,8.90E-07
497,3.96E-06
498,8.28E-05
499,2.37E-06
500,1.19E-06
501,3.87E-05
502,3.89E-05
503,0.000250449
504,4.15E-06
505,1.48E-06
506,0
507,1.19E-06
508,4.75E-06
509,0
510,5.34E-06
511,1.35E-05
512,0
513,0.00012671
514,0.000169894
515,0
516,3.87E-05
517,4.17E-05
518,1.19E-06
519,0
520,5.85E-06
521,0
522,0
523,7.68E-05
524,0.000225647
525,0.000334514
526,5.55E-07
527,2.97E-06
528,0
529,9.76E-05
530,7.52E-06
531,0
532,0
533,0
534,0
535,9.57E-05
536,3.59E-05
537,9.97E-05
538,0
539,5.93E-07
540,6.10E-05
541,4.66E-05
542,0.000210674
543,6.63E-05
544,0
545,0.000374821
546,2.08E-06
547,0
548,0
549,1.01E-05
550,0
551,1.29E-06
552,6.87E-05
553,1.20E-05
554,0
555,0
556,0
557,0
558,0
559,0.000545133
560,0.000268965
561,9.35E-05
562,0
563,0
564,0
565,0.000482046
566,2.67E-06
567,0.000900812
568,0
569,0
570,4.01E-05
571,0.000153118
572,1.77E-05
573,2.81E-05
574,4.42E-05
575,0.000442881
576,0.000106177
577,0.000572234
578,1.19E-06
579,2.16E-05
580,0
581,0
582,0
583,0
584,0
585,6.82E-05
586,0.000123835
587,0
588,0.000137679
589,8.81E-07
590,0
591,8.62E-05
592,5.93E-07
593,0
594,1.88E-06
595,5.04E-06
596,0
597,0
598,0
599,2.28E-05
600,0
601,0
602,3.92E-05
603,0.000648162
604,1.55E-05
605,1.19E-07
606,4.54E-05
607,4.49E-06
608,0
609,4.44E-05
610,0
611,0
612,2.97E-07
613,8.68E-06
614,0.000612279
615,5.04E-06
616,0
617,0.001088267
618,2.34E-07
619,1.61E-05
620,0
621,2.25E-05
622,5.22E-05
623,1.28E-05
624,0
625,3.56E-06
626,0.000275292
627,0
628,0
629,1.96E-06
630,1.48E-06
631,6.68E-05
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0.000120763
640,0.000102774
641,5.34E-06
642,0.000337162
643,0
644,0
645,4.94E-07
646,0.000324917
647,6.61E-05
648,5.86E-05
649,1.69E-05
650,3.69E-05
651,0
652,0
653,0.000227785
654,0.000112513
655,0
656,0
657,2.97E-06
658,5.48E-05
659,0.000214859
660,0.000115775
661,0
662,0
663,1.24E-05
664,0
665,8.60E-06
666,1.37E-05
667,1.19E-06
668,0
669,0.00011562
670,0.000462004
671,0.000100489
672,4.15E-05
673,5.54E-05
674,2.73E-07
675,0.000631319
676,1.93E-05
677,1.19E-06
678,5.56E-06
679,0
680,2.49E-05
681,0.000306717
682,2.08E-06
683,2.37E-05
684,0.000657304
685,0.000890824
686,0.000983705
687,0.000120754
688,1.39E-05
689,0.000118483
690,3.87E-05
691,1.78E-06
692,1.48E-05
693,3.13E-08
694,1.10E-05
695,0.000166006
696,0.000933802
697,8.55E-05
698,3.09E-05
699,3.09E-05
700,0
701,8.01E-06
702,0.000383776
703,0
704,2.08E-06
705,0.00011273
706,4.45E-06
707,3.91E-05
708,0
709,0
710,6.65E-05
711,0
712,5.93E-07
713,0
714,0
715,0.000399462
716,8.90E-07
717,3.56E-06
718,0
719,0
720,0.000610321
721,0.000228247
722,5.11E-05
723,0.000338431
724,0
725,6.05E-05
726,2.61E-05
727,0
728,8.34E-05
729,0
730,0
731,0
732,1.84E-05
733,0
734,3.14E-05
735,0
736,8.90E-06
737,9.79E-05
738,0
739,0
740,0.000164832
741,0
742,0.000443892
743,1.69E-05
744,0
745,0
